Name,State,Enrollment
American Film Institute Conservatory,CA,
American Beauty College,CA,185.0
American Career College-Los Angeles,CA,1902.0
American Conservatory Theater,CA,1.0
American River College,CA,22837.0
Antelope Valley Community College District,CA,9670.0
Art Center College of Design,CA,2026.0
Associated Technical College-Los Angeles,CA,180.0
Associated Technical College-San Diego,CA,43.0
Azusa Pacific University,CA,3937.0
Bakersfield College,CA,16900.0
Barstow Community College,CA,2071.0
Bellus Academy-Chula Vista,CA,406.0
Bethesda University,CA,264.0
Biola University,CA,3592.0
Brownson Technical School,CA,241.0
Bryan University,AZ,1361.0
Butte College,CA,8579.0
California Institute of Integral Studies,CA,84.0
Cabrillo College,CA,8035.0
California Baptist University,CA,8234.0
California College of the Arts,CA,1239.0
University of California-Hastings College of Law,CA,
California Institute of Technology,CA,987.0
California Lutheran University,CA,2588.0
California Polytechnic State University-San Luis Obispo,CA,21090.0
Alliant International University-San Diego,CA,227.0
California State University-Bakersfield,CA,8870.0
California State University-Stanislaus,CA,9161.0
California State University-San Bernardino,CA,16595.0
California State Polytechnic University-Pomona,CA,26802.0
California State University-Chico,CA,14343.0
California State University-Dominguez Hills,CA,15214.0
California State University-Fresno,CA,21826.0
California State University-Fullerton,CA,35502.0
California State University-East Bay,CA,12047.0
California State University-Long Beach,CA,33765.0
California State University-Los Angeles,CA,23506.0
California State University-Northridge,CA,34436.0
California State University-Sacramento,CA,29370.0
University of California-Berkeley,CA,31811.0
University of California-Davis,CA,31637.0
University of California-Irvine,CA,29438.0
University of California-Los Angeles,CA,32122.0
University of California-Riverside,CA,22817.0
University of California-San Diego,CA,33339.0
University of California-San Francisco,CA,
University of California-Santa Barbara,CA,23081.0
University of California-Santa Cruz,CA,17864.0
Sofia University,CA,8.0
California Beauty School,CA,63.0
California Christian College,CA,14.0
Haven University,CA,22.0
California Hair Design Academy,CA,94.0
California Institute of the Arts,CA,959.0
California State University Maritime Academy,CA,880.0
California Western School of Law,CA,
Canada College,CA,3859.0
College of the Canyons,CA,13371.0
Career Academy of Beauty,CA,194.0
Casa Loma College-Los Angeles,CA,246.0
CET-San Diego,CA,198.0
CET-San Jose,CA,176.0
CET-El Centro,CA,159.0
