Name,State,Enrollment
Michael's School of Hair Design & Esthetics,NH,84.0
New England College,NH,1261.0
New England School of Hair Design,NH,21.0
Southern New Hampshire University,NH,119248.0
New Hampshire Institute for Therapeutic Arts,NH,17.0
University of New Hampshire-Main Campus,NH,11429.0
Keene State College,NH,2930.0
University of New Hampshire at Manchester,NH,643.0
Plymouth State University,NH,3486.0
NHTI-Concord's Community College,NH,2411.0
White Mountains Community College,NH,501.0
River Valley Community College,NH,654.0
Lakes Region Community College,NH,527.0
Manchester Community College,NH,1887.0
Nashua Community College,NH,1033.0
Great Bay Community College,NH,1394.0
Paul Mitchell the School-Portsmouth,NH,87.0
Rivier University,NH,1394.0
Saint Anselm College,NH,1952.0
St Joseph School of Nursing,NH,109.0
Granite State College,NH,1340.0
Thomas More College of Liberal Arts,NH,89.0
Eastwick College-Hackensack,NJ,507.0
Assumption College for Sisters,NJ,32.0
Atlantic Cape Community College,NJ,4098.0
Fortis Institute-Wayne,NJ,479.0
Bergen Community College,NJ,9587.0
Berkeley College-Woodland Park,NJ,2031.0
Beth Medrash Govoha,NJ,3150.0
Bloomfield College,NJ,1294.0
Brookdale Community College,NJ,7884.0
Rowan College at Burlington County,NJ,5900.0
Caldwell University,NJ,1624.0
Camden County College,NJ,6207.0
Centenary University,NJ,1111.0
Adult and Continuing Education-BCTS,NJ,76.0
Lincoln Technical Institute-Iselin,NJ,618.0
American Institute-Clifton,NJ,699.0
County College of Morris,NJ,5478.0
Rowan College of South Jersey-Cumberland Campus,NJ,1937.0
Drew University,NJ,1520.0
Lincoln Technical Institute-South Plainfield,NJ,340.0
Essex County College,NJ,5435.0
Empire Beauty School-Union,NJ,107.0
Fairleigh Dickinson University-Metropolitan Campus,NJ,2515.0
Felician University,NJ,1903.0
Fairleigh Dickinson University-Florham Campus,NJ,2230.0
Hohokus School of Trade and Technical Sciences,NJ,92.0
Georgian Court University,NJ,1314.0
Rowan University,NJ,14925.0
Rowan College of South Jersey-Gloucester Campus,NJ,4706.0
Empire Beauty School-Cherry Hill,NJ,85.0
Eastwick College-Ramsey,NJ,678.0
Holy Name Medical Center-Sister Claire Tynan School of Nursing,NJ,182.0
Hudson County Community College,NJ,6286.0
New Jersey City University,NJ,5146.0
Joe Kubert School of Cartoon and Graphic Art,NJ,86.0
Kean University,NJ,10291.0
Lincoln Technical Institute-Union,NJ,1550.0
Rizzieri Aveda School for Beauty and Wellness,NJ,316.0
Mercer County Community College,NJ,5434.0
Middlesex College,NJ,8159.0
Monmouth University,NJ,4057.0
Montclair State University,NJ,15993.0
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,NJ,637.0
Eastwick College-Nutley,NJ,435.0
New Brunswick Theological Seminary,NJ,
Robert Fiance Beauty Schools-West New York,NJ,199.0
New Jersey Institute of Technology,NJ,8377.0
Ocean County College,NJ,5965.0
P B Cosmetology Education Center,NJ,143.0
Parisian Beauty School,NJ,466.0
Passaic County Community College,NJ,4623.0
Pennco Tech-Blackwood,NJ,824.0
Princeton Theological Seminary,NJ,
Princeton University,NJ,5236.0
Rabbinical College of America,NJ,216.0
Ramapo College of New Jersey,NJ,4859.0
Robert Fiance Beauty Schools,FL,200.0
Rider University,NJ,3174.0
Rutgers University-Camden,NJ,4747.0
Rutgers University-New Brunswick,NJ,35827.0
Rutgers University-Newark,NJ,8066.0
Capital Health School of Radiologic Technology,NJ,15.0
Capital Health School of Nursing,NJ,73.0
Saint Peter's University,NJ,2017.0
Salem Community College,NJ,878.0
Seton Hall University,NJ,5924.0
Shore Beauty School,NJ,151.0
Saint Elizabeth University,NJ,688.0
Raritan Valley Community College,NJ,5387.0
Stevens Institute of Technology,NJ,4053.0
Stockton University,NJ,8359.0
Talmudical Academy-New Jersey,NJ,76.0
Aviation Institute of Maintenance-Teterboro,NJ,330.0
Thomas Edison State University,NJ,8615.0
The College of New Jersey,NJ,6491.0
Union County College,NJ,7591.0
William Paterson University of New Jersey,NJ,7165.0
Olympian Academy of Cosmetology,NM,732.0
Central New Mexico Community College,NM,15275.0
Navajo Technical University,NM,924.0
New Mexico State University-Dona Ana,NM,4707.0
Clovis Community College,NM,1277.0
Eastern New Mexico University-Main Campus,NM,2861.0
Eastern New Mexico University-Roswell Campus,NM,1169.0
Institute of American Indian and Alaska Native Culture and Arts Development,NM,294.0
New Mexico Highlands University,NM,1451.0
New Mexico Junior College,NM,1739.0
New Mexico Military Institute,NM,374.0
University of New Mexico-Gallup Campus,NM,1287.0
New Mexico Institute of Mining and Technology,NM,1201.0
University of New Mexico-Los Alamos Campus,NM,719.0
University of New Mexico-Main Campus,NM,15092.0
New Mexico State University-Alamogordo,NM,461.0
Southeast New Mexico College,NM,428.0
New Mexico State University-Grants,NM,264.0
New Mexico State University-Main Campus,NM,10674.0
University of New Mexico-Valencia County Campus,NM,1174.0
Northern New Mexico College,NM,876.0
San Juan College,NM,3911.0
Santa Fe Community College,NM,2150.0
University of the Southwest,NM,414.0
Southwestern College,NM,
Southwestern Indian Polytechnic Institute,NM,344.0
University of New Mexico-Taos Campus,NM,813.0
Mesalands Community College,NM,321.0
Vogue College of Cosmetology-Santa Fe,NM,67.0
Western New Mexico University,NM,1528.0
Vaughn College of Aeronautics and Technology,NY,1283.0
Adelphi University,NY,5168.0
SUNY Adirondack,NY,1975.0
Bryant & Stratton College-Albany,NY,351.0
Albany College of Pharmacy and Health Sciences,NY,639.0
Albany Law School,NY,
Albany Medical College,NY,
Alfred University,NY,1460.0
Allen School-Brooklyn,NY,140.0
The Ailey School,NY,35.0
American Academy of Dramatic Arts-New York,NY,181.0
American Academy McAllister Institute of Funeral Service,NY,412.0
Joffrey Ballet School,NY,168.0
American Musical and Dramatic Academy,NY,1656.0
Apex Technical School,NY,945.0
Arnot Ogden Medical Center,NY,35.0
Associated Beth Rivkah Schools,NY,273.0
Bank Street College of Education,NY,
Bard College,NY,2036.0
Barnard College,NY,3007.0
Berk Trade and Business School,NY,159.0
Berkeley College-New York,NY,1688.0
Berkowits School of Electrolysis,NY,135.0
Beth Hamedrash Shaarei Yosher Institute,NY,75.0
Phillips School of Nursing at Mount Sinai Beth Israel,NY,290.0
Brittany Beauty Academy,NY,154.0
Boricua College,NY,377.0
Brittany Beauty Academy,NY,210.0
American Beauty School,NY,110.0
Brooklyn Law School,NY,
SUNY Broome Community College,NY,3422.0
Bryant & Stratton College-Syracuse North,NY,455.0
Bryant & Stratton College-Buffalo,NY,637.0
Bryant & Stratton College-Greece,NY,329.0
Canisius College,NY,1807.0
Capri Cosmetology Learning Centers,NY,290.0
St Paul's School of Nursing-Queens,NY,813.0
Cayuga County Community College,NY,1276.0
Cazenovia College,NY,690.0
Central Yeshiva Tomchei Tmimim Lubavitz,NY,577.0
Christine Valmy International School for Esthetics Skin Care & Makeup,NY,590.0
Circle in the Square Theatre School,NY,35.0
Clarkson University,NY,2790.0
Clinton Community College,NY,438.0
Cochran School of Nursing,NY,100.0
Colgate Rochester Crozer Divinity School,NY,
Colgate University,NY,3152.0
Metropolitan College of New York,NY,356.0
Columbia University in the City of New York,NY,8832.0
Columbia-Greene Community College,NY,833.0
Empire Beauty School-Queens,NY,104.0
Continental School of Beauty Culture-Rochester,NY,247.0
The Cooper Union for the Advancement of Science and Art,NY,869.0
Cornell University,NY,15451.0
Weill Medical College of Cornell University,NY,
SUNY Corning Community College,NY,1476.0
Pomeroy College of Nursing at Crouse Hospital,NY,252.0
Culinary Institute of America,NY,2854.0
CUNY Bernard M Baruch College,NY,15483.0
CUNY Borough of Manhattan Community College,NY,18255.0
CUNY Bronx Community College,NY,6602.0
CUNY Brooklyn College,NY,12567.0
College of Staten Island CUNY,NY,10392.0
CUNY City College,NY,11861.0
CUNY Graduate School and University Center,NY,2703.0
CUNY Hostos Community College,NY,4930.0
CUNY Hunter College,NY,17293.0
CUNY John Jay College of Criminal Justice,NY,12834.0
CUNY Kingsborough Community College,NY,7748.0
CUNY LaGuardia Community College,NY,11737.0
CUNY Lehman College,NY,11609.0
CUNY Medgar Evers College,NY,3824.0
CUNY New York City College of Technology,NY,13490.0
CUNY Queens College,NY,14859.0
CUNY Queensborough Community College,NY,9733.0
CUNY School of Law,NY,
CUNY York College,NY,5595.0
CVPH Medical Center School of Radiologic Technology,NY,14.0
D'Youville  University,NY,1388.0
Daemen University,NY,1721.0
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,54.0
Dominican University New York,NY,1131.0
Dutchess Community College,NY,3988.0
Belanger School of Nursing,NY,141.0
Elmira College,NY,632.0
Erie Community College,NY,6368.0
Fashion Institute of Technology,NY,7660.0
Finger Lakes Community College,NY,2975.0
Five Towns College,NY,523.0
Fordham University,NY,9669.0
Fulton-Montgomery Community College,NY,995.0
Gemological Institute of America-New York,NY,81.0
The General Theological Seminary,NY,
Genesee Community College,NY,2192.0
Hamilton College,NY,2049.0
Hartwick College,NY,1159.0
Helene Fuld College of Nursing,NY,557.0
Herkimer County Community College,NY,1325.0
Hilbert College,NY,723.0
Hobart William Smith Colleges,NY,1639.0
Hofstra University,NY,6004.0
Houghton University,NY,841.0
Hudson Valley Community College,NY,6103.0
Hunter Business School,NY,1015.0
Iona University,NY,2667.0
Isabella Graham Hart School of Practical Nursing,NY,213.0
Island Drafting and Technical Institute,NY,52.0
Ithaca College,NY,4778.0
Jamestown Community College,NY,1702.0
Jamestown Business College,NY,287.0
Jefferson Community College,NY,1664.0
Jewish Theological Seminary of America,NY,144.0
The Juilliard School,NY,487.0
Kehilath Yakov Rabbinical Seminary,NY,175.0
Keuka College,NY,1118.0
LIM College,NY,1203.0
Le Moyne College,NY,2604.0
Long Island University,NY,5909.0
Long Island Beauty School-Hempstead,NY,136.0
Long Island Business Institute,NY,939.0
Machzikei Hadath Rabbinical College,NY,172.0
Mandl School-The College of Allied Health,NY,457.0
Manhattan College,NY,3166.0
Manhattan School of Music,NY,489.0
Manhattanville College,NY,1326.0
Maria College of Albany,NY,715.0
Marion S Whelan School of Nursing of Geneva General Hospital,NY,20.0
Marist College,NY,5097.0
Marymount Manhattan College,NY,1713.0
Medaille University,NY,1276.0
St. Peter's Hospital College of Nursing,NY,130.0
Memorial Hospital School of Radiation Therapy Technology,NY,18.0
Mercy College,NY,5860.0
Mesivta Torah Vodaath Rabbinical Seminary,NY,369.0
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,46.0
Mesivtha Tifereth Jerusalem of America,NY,44.0
Midway Paris Beauty School,NY,92.0
Mildred Elley School-Albany Campus,NY,476.0
Mirrer Yeshiva Cent Institute,NY,125.0
Modern Welding School,NY,90.0
Mohawk Valley Community College,NY,2856.0
Molloy College,NY,3248.0
Monroe College,NY,5976.0
Monroe Community College,NY,8002.0
Mount Saint Mary College,NY,1560.0
Montefiore School of Nursing,NY,116.0
College of Mount Saint Vincent,NY,2253.0
Icahn School of Medicine at Mount Sinai,NY,
Nassau Community College,NY,11075.0
Nazareth College,NY,2050.0
Neighborhood Playhouse School of the Theater,NY,81.0
The New School,NY,7373.0
The New School Center for Media,NY,14.0
Northeast College of Health Sciences,NY,
New York Law School,NY,
New York Medical College,NY,
New York School for Medical and Dental Assistants,NY,298.0
New York Theological Seminary,NY,
New York University,NY,28556.0
Niagara County Community College,NY,2999.0
Niagara University,NY,2764.0
Empire Beauty School-Peekskill,NY,47.0
North Country Community College,NY,764.0
New York College of Podiatric Medicine,NY,
New York Institute of Technology,NY,3345.0
New York School of Interior Design,NY,444.0
Alliance University,NY,975.0
Ohr Hameir Theological Seminary,NY,85.0
Onondaga Community College,NY,4226.0
Orange County Community College,NY,3702.0
Otsego Area BOCES-Practical Nursing Program,NY,32.0
Pace University,NY,7820.0
Paul Smiths College of Arts and Science,NY,707.0
Continental School of Beauty Culture-West Seneca,NY,55.0
Plaza College,NY,873.0
Davis College,NY,95.0
Pratt Institute-Main,NY,3869.0
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,167.0
Rabbinical College Bobover Yeshiva Bnei Zion,NY,407.0
Rabbinical College Beth Shraga,NY,51.0
Rabbinical Seminary Mkor Chaim,NJ,49.0
Rabbinical College of Long Island,NY,157.0
Rabbinical Seminary of America,NY,415.0
Rensselaer Polytechnic Institute,NY,5579.0
Roberts Wesleyan University,NY,1085.0
Rochester Institute of Technology,NY,13085.0
University of Rochester,NY,6417.0
The Rockefeller University,NY,
Rockland Community College,NY,4223.0
Empire Beauty School-Manhattan,NY,307.0
Russell Sage College,NY,1192.0
St Bernard's School of Theology and Ministry,NY,
St Bonaventure University,NY,1742.0
St. Francis College,NY,2364.0
St. Joseph's College of Nursing,NY,387.0
St Lawrence University,NY,2227.0
The College of Saint Rose,NY,1778.0
St. Thomas Aquinas College,NY,1051.0
Samaritan Hospital School of Nursing,NY,144.0
Sarah Lawrence College,NY,1499.0
Schenectady County Community College,NY,1569.0
Sh'or Yoshuv Rabbinical College,NY,200.0
Siena College,NY,3454.0
Skidmore College,NY,2676.0
St. Joseph's University-New York,NY,3753.0
Saint Vladimirs Orthodox Theological Seminary,NY,
Saint Elizabeth College of Nursing,NY,137.0
St. John Fisher University,NY,2586.0
St Paul's School of Nursing-Staten Island,NY,710.0
St. John's University-New York,NY,10058.0
Sullivan County Community College,NY,833.0
SUNY College of Technology at Alfred,NY,3400.0
SUNY College of Technology at Canton,NY,2778.0
SUNY College of Technology at Delhi,NY,2486.0
SUNY College of Agriculture and Technology at Cobleskill,NY,1806.0
Farmingdale State College,NY,8918.0
SUNY Morrisville,NY,1939.0
SUNY at Albany,NY,12556.0
Binghamton University,NY,14303.0
University at Buffalo,NY,21303.0
Stony Brook University,NY,17900.0
SUNY College of Environmental Science and Forestry,NY,1576.0
SUNY Polytechnic Institute,NY,1924.0
SUNY Brockport,NY,5668.0
SUNY Buffalo State University,NY,6024.0
SUNY Cortland,NY,5974.0
SUNY at Fredonia,NY,3540.0
SUNY College at Geneseo,NY,4450.0
State University of New York at New Paltz,NY,6142.0
SUNY Oneonta,NY,5374.0
State University of New York at Oswego,NY,6095.0
SUNY College at Potsdam,NY,2346.0
SUNY at Purchase College,NY,3369.0
SUNY College of Optometry,NY,
SUNY College at Old Westbury,NY,3936.0
SUNY College at Plattsburgh,NY,4286.0
SUNY Downstate Health Sciences University,NY,193.0
Empire State University,NY,7289.0
SUNY Maritime College,NY,1399.0
Upstate Medical University,NY,191.0
Swedish Institute a College of Health Sciences,NY,900.0
Syracuse University,NY,14515.0
Talmudical Seminary Oholei Torah,NY,393.0
Talmudical Institute of Upstate New York,NY,14.0
Teachers College at Columbia University,NY,
Tompkins Cortland Community College,NY,1365.0
Torah Temimah Talmudical Seminary,NY,39.0
Touro University,NY,4329.0
Trocaire College,NY,1048.0
Excelsior University,NY,15260.0
Ulster County Community College,NY,1340.0
Union College,NY,2072.0
Union Theological Seminary in the City of New York,NY,
United Talmudical Seminary,NY,1985.0
United States Merchant Marine Academy,NY,1006.0
United States Military Academy,NY,4594.0
Utica University,NY,2810.0
Vassar College,NY,2500.0
Villa Maria College,NY,448.0
School of Visual Arts,NY,3521.0
Wagner College,NY,1562.0
Webb Institute,NY,105.0
Wells College,NY,341.0
The College of Westchester,NY,750.0
SUNY Westchester Community College,NY,7917.0
Westchester School of Beauty Culture,NY,65.0
Word of Life Bible Institute,NY,461.0
Yeshiva Karlin Stolin,NY,129.0
Yeshiva Derech Chaim,NY,109.0
Yeshiva of Nitra Rabbinical College,NY,176.0
Yeshivath Shaar Hatorah,NY,68.0
Yeshiva University,NY,2583.0
Yeshivath Viznitz,NY,744.0
Yeshivath Zichron Moshe,NY,174.0
College of the Albemarle,NC,1722.0
South Piedmont Community College,NC,1497.0
Appalachian State University,NC,18486.0
Asheville-Buncombe Technical Community College,NC,4111.0
Barton College,NC,1045.0
Beaufort County Community College,NC,1401.0
Belmont Abbey College,NC,1426.0
Bennett College,NC,207.0
Bladen Community College,NC,908.0
Blue Ridge Community College,NC,1830.0
Brevard College,NC,769.0
Brunswick Community College,NC,1074.0
Cabarrus College of Health Sciences,NC,438.0
Caldwell Community College and Technical Institute,NC,2195.0
Campbell University,NC,3313.0
Cape Fear Community College,NC,8904.0
Carteret Community College,NC,1202.0
Catawba College,NC,1132.0
Catawba Valley Community College,NC,3030.0
Central Carolina Community College,NC,3014.0
Central Piedmont Community College,NC,13449.0
Chowan University,NC,920.0
Cleveland Community College,NC,1536.0
Coastal Carolina Community College,NC,2796.0
Craven Community College,NC,2049.0
Davidson-Davie Community College,NC,2459.0
Davidson College,NC,1970.0
Duke University,NC,6815.0
Durham Technical Community College,NC,3276.0
East Carolina University,NC,21231.0
Edgecombe Community College,NC,1391.0
Elizabeth City State University,NC,1807.0
Elon University,NC,6302.0
Fayetteville Technical Community College,NC,8332.0
Fayetteville State University,NC,4986.0
Forsyth Technical Community College,NC,6465.0
Gardner-Webb University,NC,1980.0
Gaston College,NC,3474.0
Greensboro College,NC,608.0
Guilford College,NC,1025.0
Guilford Technical Community College,NC,8280.0
Halifax Community College,NC,498.0
Haywood Community College,NC,824.0
Heritage Bible College,NC,30.0
High Point University,NC,4871.0
Isothermal Community College,NC,1115.0
James Sprunt Community College,NC,1027.0
Johnson C Smith University,NC,1122.0
Johnston Community College,NC,2682.0
Lees-McRae College,NC,869.0
Lenoir Community College,NC,1454.0
Lenoir-Rhyne University,NC,1458.0
Leons Beauty School Inc,NC,135.0
Livingstone College,NC,890.0
Louisburg College,NC,501.0
Mars Hill University,NC,1018.0
Martin Community College,NC,380.0
Mayland Community College,NC,433.0
McDowell Technical Community College,NC,431.0
Meredith College,NC,1411.0
Methodist University,NC,1512.0
Miller-Motte College-Wilmington,NC,1860.0
Mitchell Community College,NC,1847.0
Mitchells Academy,NC,32.0
Montgomery Community College,NC,676.0
Montreat College,NC,851.0
University of Mount Olive,NC,1891.0
College of Wilmington,NC,175.0
Nash Community College,NC,1750.0
North Carolina A & T State University,NC,11327.0
University of North Carolina at Asheville,NC,3084.0
University of North Carolina at Chapel Hill,NC,19722.0
University of North Carolina at Charlotte,NC,23708.0
University of North Carolina at Greensboro,NC,14889.0
North Carolina Central University,NC,5323.0
University of North Carolina School of the Arts,NC,935.0
North Carolina State University at Raleigh,NC,24999.0
North Carolina Wesleyan University,NC,1362.0
University of North Carolina Wilmington,NC,14161.0
Pamlico Community College,NC,198.0
William Peace University,NC,666.0
University of North Carolina at Pembroke,NC,6179.0
Pfeiffer University,NC,744.0
Piedmont Community College,NC,726.0
Pitt Community College,NC,5327.0
Queens University of Charlotte,NC,1418.0
Randolph Community College,NC,1409.0
Richmond Community College,NC,1329.0
Mid-Atlantic Christian University,NC,133.0
Roanoke-Chowan Community College,NC,562.0
Robeson Community College,NC,1381.0
Rockingham Community College,NC,1277.0
Rowan-Cabarrus Community College,NC,4404.0
Saint Augustine's University,NC,1239.0
Salem College,NC,346.0
Sampson Community College,NC,883.0
Sandhills Community College,NC,2608.0
Shaw University,NC,986.0
Paul Mitchell the School-Fayetteville,NC,190.0
St. Andrews University,NC,876.0
Southeastern Community College,NC,860.0
Southwestern Community College,NC,1662.0
Stanly Community College,NC,1638.0
Southeastern Baptist Theological Seminary,NC,529.0
Surry Community College,NC,1682.0
Alamance Community College,NC,2656.0
Tri-County Community College,NC,481.0
Vance-Granville Community College,NC,1744.0
Wake Forest University,NC,5465.0
Wake Technical Community College,NC,18327.0
Warren Wilson College,NC,718.0
Watts School of Nursing,NC,144.0
Wayne Community College,NC,2522.0
Western Piedmont Community College,NC,1059.0
Wilkes Community College,NC,1321.0
Wilson Community College,NC,936.0
Wingate University,NC,2480.0
Carolina Christian College,NC,65.0
Winston Salem Barber School,NC,26.0
Winston-Salem State University,NC,4581.0
Western Carolina University,NC,9980.0
Rasmussen University-North Dakota,ND,575.0
Bismarck State College,ND,2613.0
Dickinson State University,ND,1166.0
Nueta Hidatsa Sahnish College,ND,155.0
Josef's School of Hair Skin & Body-Grand Forks,ND,36.0
University of Jamestown,ND,992.0
Lake Region State College,ND,550.0
Cankdeska Cikana Community College,ND,223.0
University of Mary,ND,2185.0
Mayville State University,ND,866.0
Minot State University,ND,2248.0
University of North Dakota,ND,8998.0
North Dakota State College of Science,ND,1778.0
Dakota College at Bottineau,ND,490.0
North Dakota State University-Main Campus,ND,9932.0
Williston State College,ND,669.0
Sitting Bull College,ND,216.0
Trinity Bible College and Graduate School,ND,144.0
Turtle Mountain Community College,ND,383.0
United Tribes Technical College,ND,448.0
Valley City State University,ND,942.0
ETI Technical College,OH,129.0
Air Force Institute of Technology-Graduate School of Engineering & Management,OH,
Herzing University-Akron,OH,410.0
University of Akron Main Campus,OH,10811.0
University of Akron Wayne College,OH,725.0
Allegheny Wesleyan College,OH,74.0
Apollo Career Center,OH,1109.0
Art Academy of Cincinnati,OH,233.0
Ashland County-West Holmes Career Center,OH,47.0
Ashland University,OH,2991.0
Ashtabula County Technical and Career Campus,OH,105.0
Athenaeum of Ohio,OH,35.0
Auburn Career Center,OH,99.0
Aultman College of Nursing and Health Sciences,OH,251.0
Baldwin Wallace University,OH,2808.0
Belmont College,OH,486.0
Bluffton University,OH,718.0
Bowling Green State University-Firelands,OH,1138.0
Bowling Green State University-Main Campus,OH,12779.0
Bryant & Stratton College-Parma,OH,619.0
Buckeye Hills Career Center,OH,190.0
Butler Technology and Career Development Schools,OH,448.0
Canton City Schools Adult Career and Technical Education,OH,84.0
Capital University,OH,2045.0
Case Western Reserve University,OH,5697.0
Cedarville University,OH,3613.0
Central Ohio Technical College,OH,1670.0
Central School of Practical Nursing,OH,44.0
Central State University,OH,6017.0
Chatfield College,OH,61.0
Choffin Career  and Technical Center,OH,58.0
The Christ College of Nursing and Health Sciences,OH,870.0
Cincinnati College of Mortuary Science,OH,104.0
University of Cincinnati-Main Campus,OH,27188.0
Cincinnati State Technical and Community College,OH,5550.0
University of Cincinnati-Clermont College,OH,2133.0
University of Cincinnati-Blue Ash College,OH,3965.0
Ohio Christian University,OH,1155.0
Clark State College,OH,3330.0
Cleveland Institute of Art,OH,574.0
Cleveland Institute of Music,OH,208.0
Cleveland State University,OH,10208.0
Columbiana County Career and Technical Center,OH,179.0
Columbus College of Art and Design,OH,975.0
Columbus State Community College,OH,16911.0
Cuyahoga Community College District,OH,12745.0
Davis College,OH,102.0
Dayton Barber College,OH,73.0
University of Dayton,OH,8555.0
Defiance College,OH,516.0
Denison University,OH,2312.0
Edison State Community College,OH,1724.0
EHOVE Career Center,OH,371.0
The University of Findlay,OH,2204.0
Franklin University,OH,4444.0
Gerbers Akron Beauty School,OH,40.0
Gods Bible School and College,OH,221.0
Good Samaritan College of Nursing and Health Science,OH,282.0
Great Oaks Career Campuses,OH,166.0
Hannah E Mullins School of Practical Nursing,OH,54.0
Adult and Community Education-Hudson,OH,53.0
Hebrew Union College-Jewish Institute of Religion,NY,
Heidelberg University,OH,1036.0
Hiram College,OH,849.0
Hobart Institute of Welding Technology,OH,359.0
Hocking College,OH,1696.0
Ross Medical Education Center-Cincinnati,OH,96.0
International College of Broadcasting,OH,55.0
Eastern Gateway Community College,OH,43555.0
John Carroll University,OH,2609.0
Hondros College of Nursing,OH,2541.0
Casal Aveda Institute,OH,106.0
Kent State University at Ashtabula,OH,1468.0
Kent State University at East Liverpool,OH,729.0
Kent State University at Stark,OH,3712.0
Kent State University at Trumbull,OH,1744.0
Kent State University at Tuscarawas,OH,1627.0
Kent State University at Salem,OH,1173.0
Kent State University at Kent,OH,20136.0
Kent State University at Geauga,OH,1665.0
Kenyon College,OH,1868.0
Kettering College,OH,567.0
Lake Erie College,OH,644.0
Lakeland Community College,OH,3524.0
O C Collins Career Center,OH,454.0
James A. Rhodes State College,OH,1390.0
Ohio Business College-Sheffield,OH,183.0
Ohio Business College-Sandusky,OH,54.0
Lorain County Community College,OH,5919.0
Lourdes University,OH,811.0
Malone University,OH,882.0
Marietta College,OH,1124.0
Marion Technical College,OH,1371.0
Medina County Career Center,OH,34.0
Mercy College of Ohio,OH,1215.0
Methodist Theological School in Ohio,OH,
Miami University-Hamilton,OH,2117.0
Miami University-Middletown,OH,1152.0
Miami University-Oxford,OH,16868.0
Moler Hollywood Beauty Academy,OH,67.0
Miami Valley Career Technology Center,OH,157.0
Mount Carmel College of Nursing,OH,621.0
University of Mount Union,OH,1865.0
Mount Vernon Nazarene University,OH,1490.0
Mount Saint Joseph University,OH,1087.0
Zane State College,OH,886.0
Muskingum University,OH,1501.0
National Beauty College,OH,131.0
North Central State College,OH,1399.0
Northern Institute of Cosmetology,OH,45.0
Northwest State Community College,OH,966.0
Toledo Public Schools Adult and Continuing Education,OH,20.0
Notre Dame College,OH,1141.0
Northeast Ohio Medical University,OH,
University of Northwestern Ohio,OH,2687.0
Oberlin College,OH,2942.0
Ohio Technical College,OH,470.0
Ohio Dominican University,OH,823.0
Ohio Northern University,OH,2187.0
Ohio State University Agricultural Technical Institute,OH,459.0
Ohio State University-Lima Campus,OH,780.0
Ohio State University-Mansfield Campus,OH,820.0
Ohio State University-Marion Campus,OH,968.0
Ohio State University-Newark Campus,OH,2612.0
Ohio State Beauty Academy,OH,84.0
Ohio State College of Barber Styling,OH,307.0
The Spa School,OH,157.0
Ohio State School of Cosmetology-Canal Winchester,OH,89.0
Ohio State University-Main Campus,OH,45986.0
Ohio University-Eastern Campus,OH,268.0
Ohio University-Chillicothe Campus,OH,965.0
Ohio University-Southern Campus,OH,718.0
Ohio University-Lancaster Campus,OH,693.0
Ohio University-Main Campus,OH,17899.0
Ohio University-Zanesville Campus,OH,673.0
East Ohio College,OH,133.0
Trinity Health System School of Nursing,OH,35.0
Ohio Wesleyan University,OH,1338.0
Otterbein University,OH,2180.0
Owens Community College,OH,4461.0
Paramount Beauty Academy,OH,41.0
Cuyahoga Valley Career Center,OH,156.0
Payne Theological Seminary,OH,
Pontifical College Josephinum,OH,32.0
Professional Skills Institute,OH,349.0
Firelands Regional Medical Center School of Nursing,OH,74.0
Rabbinical College Telshe,OH,51.0
Raphael's School of Beauty Culture Inc-Niles,OH,164.0
Fortis College-Centerville,OH,491.0
University of Rio Grande,OH,868.0
The Modern College of Design,OH,195.0
Shawnee State University,OH,2537.0
Sinclair Community College,OH,14334.0
Hussian College-Daymar College Columbus,OH,57.0
Stark State College,OH,6992.0
Stautzenberger College-Maumee,OH,482.0
Franciscan University of Steubenville,OH,2443.0
Southern State Community College,OH,795.0
Terra State Community College,OH,1108.0
Tiffin Academy of Hair Design,OH,48.0
Tiffin University,OH,1824.0
University of Toledo,OH,12016.0
Tri-State Bible College,OH,23.0
Tri-County Adult Career Center,OH,17.0
Tri-Rivers Career Center,OH,160.0
Union Institute & University,OH,489.0
United Theological Seminary,OH,
Upper Valley Career Center,OH,82.0
Ursuline College,OH,657.0
The North Coast College,OH,47.0
Walsh University,OH,1635.0
Washington State Community College,OH,957.0
Wilberforce University,OH,528.0
Wilmington College,OH,1027.0
Winebrenner Theological Seminary,OH,
Wittenberg University,OH,1256.0
The College of Wooster,OH,1960.0
Wright State University-Main Campus,OH,6879.0
Wright State University-Lake Campus,OH,1094.0
Xavier University,OH,5124.0
Youngstown State University,OH,8306.0
Bacone College,OK,266.0
Oklahoma Wesleyan University,OK,780.0
Southern Nazarene University,OK,1479.0
Pontotoc Technology Center,OK,74.0
Cameron University,OK,2792.0
Carl Albert State College,OK,1245.0
Central Oklahoma College,OK,433.0
University of Central Oklahoma,OK,11420.0
Connors State College,OK,1500.0
East Central University,OK,2552.0
Eastern Oklahoma State College,OK,1003.0
Redlands Community College,OK,815.0
Formations Institute,OK,25.0
Eves College of Hairstyling,OK,62.0
Randall University,OK,279.0
Langston University,OK,1814.0
Murray State College,OK,1188.0
Spartan College of Aeronautics and Technology,OK,684.0
Northeastern State University,OK,5212.0
Northern Oklahoma College,OK,1913.0
